Epoch,Train Loss,Val Loss
1,5.923944,
2,5.812930,
3,5.769310,
4,5.742529,
5,5.721124,3.127079
6,5.704728,
7,5.691355,
8,5.678435,
9,5.665593,
10,5.653815,2.929864
11,5.643972,
12,5.635701,
13,5.628813,
14,5.622995,
15,5.618147,2.831637
16,5.614056,
17,5.610441,
18,5.607332,
19,5.604344,
20,5.601782,2.778522
21,5.599501,
22,5.597331,
23,5.595550,
24,5.593758,
25,5.592072,2.746723
26,5.590741,
27,5.589447,
28,5.588350,
29,5.587160,
30,5.586163,2.755298
