Epoch,Train Loss,Val Loss
1,2.058775,1.976705
2,1.053366,1.472815
3,0.697533,1.223842
4,0.585388,1.107849
5,0.533193,1.061345
6,0.506642,1.025635
7,0.488097,1.032817
8,0.474291,1.011731
9,0.462749,1.019992
10,0.454862,1.014617
11,0.446510,1.021861
12,0.438955,1.009710
13,0.432997,1.008866
14,0.426675,1.035055
15,0.421011,1.018295
16,0.417677,1.022908
17,0.412334,1.030986
18,0.408384,1.010139
19,0.404315,1.007746
20,0.400431,1.007560
21,0.394930,1.006786
22,0.391142,0.998624
23,0.387603,1.040729
24,0.385073,1.027511
25,0.381047,1.021473
26,0.378521,1.016723
27,0.374781,1.064997
