Epoch,Train Loss,Val Loss
1,2.073487,1.907861
2,1.026805,1.441541
3,0.679991,1.269198
4,0.581442,1.164525
5,0.534253,1.109309
6,0.506303,1.057462
7,0.486643,1.053873
8,0.469506,1.038508
9,0.457805,1.061463
10,0.447343,1.034484
11,0.440141,1.028132
12,0.431139,1.038780
13,0.425718,1.008670
14,0.420399,1.012564
15,0.414177,1.046565
16,0.408582,1.020479
17,0.404582,1.017437
18,0.398459,1.030824
19,0.395145,1.028880
20,0.378605,1.036400
21,0.373189,1.041628
22,0.370501,1.058748
