Epoch,Train Loss,Val Loss
1,1.956340,1.912370
2,1.122207,1.516092
3,0.705680,1.291648
4,0.581369,1.145131
5,0.526400,1.110930
6,0.498275,1.083897
7,0.480367,1.055910
8,0.466557,1.059003
9,0.456585,1.053087
10,0.447249,1.026603
11,0.438657,1.038487
12,0.431634,1.028710
13,0.425650,1.019535
14,0.419214,1.020641
15,0.413427,1.010110
16,0.407508,1.024732
17,0.402492,1.011706
18,0.396843,1.030301
19,0.392777,1.000354
20,0.388659,1.012713
21,0.384396,1.012599
22,0.380586,1.033967
23,0.377788,1.000494
24,0.373252,1.005362
25,0.371267,1.019033
26,0.368507,1.008535
27,0.366076,1.025478
28,0.363608,1.042074
