Epoch,Train Loss,Val Loss
1,5.923944,
2,5.812930,
3,5.769310,
4,5.742529,
5,5.721124,2.956928
6,5.704727,
7,5.691253,
8,5.678406,
9,5.665557,
10,5.653746,2.758673
11,5.643722,
12,5.635652,
13,5.628705,
14,5.622938,
15,5.618087,2.684458
16,5.613871,
17,5.610349,
18,5.607134,
19,5.604346,
20,5.601636,2.655714
21,5.599372,
22,5.597365,
23,5.595344,
24,5.593660,
25,5.592134,2.650185
26,5.590613,
27,5.589560,
28,5.588164,
29,5.587081,
30,5.586285,2.656982
